# Order_Type Price Size
# Order_Type: 1=Buy, 0=Sell
0 100.01 208
1 100.00 147
0 100.00 71
0 100.00 101
0 100.00 25
0 100.00 15
0 99.99 43
1 99.98 147
1 99.98 57
1 99.98 111
1 99.98 57
0 99.98 15
0 99.97 73
1 99.97 37
0 99.97 161
0 99.96 11
1 99.96 253
0 99.96 16
0 99.96 41
1 99.96 12
0 99.96 151
0 99.96 18
1 99.96 32
1 99.96 154
1 99.97 33
0 99.96 51
0 99.95 98
1 99.95 78
0 99.95 68
1 99.96 30
0 99.95 37
0 99.95 84
1 99.95 41
0 99.96 70
0 99.96 8
0 99.96 53
1 99.96 93
0 99.96 106
0 99.95 44
1 99.96 75
1 99.95 30
1 99.96 225
0 99.97 39
1 99.97 195
0 99.97 49
0 99.97 17
1 99.97 43
0 99.96 20
0 99.96 42
0 99.95 20
0 99.95 43
1 99.95 146
0 99.95 229
0 99.96 30
1 99.96 113
0 99.96 250
0 99.95 17
1 99.95 10
1 99.95 14
0 99.95 52
1 99.95 6
0 99.95 172
0 99.95 6
1 99.95 54
0 99.97 75
1 99.97 109
1 99.97 169
0 99.97 282
1 99.96 81
1 99.97 30
0 99.96 66
1 99.96 81
1 99.96 69
0 99.96 34
1 99.96 183
0 99.97 37
0 99.97 48
1 99.96 24
1 99.96 138
0 99.96 490
1 99.96 181
0 99.96 19
1 99.96 24
0 99.96 11
0 99.97 74
0 99.97 88
1 99.98 28
0 99.98 31
1 99.97 8
1 99.96 49
0 99.97 27
1 99.97 27
0 99.97 538
1 99.97 106
0 99.97 53
1 99.98 68
0 99.98 33
1 99.98 144
0 99.99 42
1 99.99 18
1 99.99 279
1 99.99 25
1 99.99 425
1 100.00 135
0 100.00 108
0 100.01 21
1 100.01 238
1 100.00 597
1 100.00 20
0 100.00 50
0 100.01 22
0 100.00 39
1 100.01 46
1 100.01 199
1 100.01 13
1 100.00 112
1 99.99 117
1 100.00 22
0 100.00 56
1 99.99 31
0 99.98 62
0 99.98 347
0 99.99 23
1 99.99 73
0 99.98 22
1 99.98 113
0 99.98 75
0 99.97 99
1 99.97 32
1 99.96 17
1 99.97 11
1 99.98 55
0 99.98 93
1 99.98 81
0 99.98 114
1 99.99 32
1 99.99 50
0 99.99 5
1 99.99 48
1 99.99 311
0 99.99 66
1 99.99 404
0 99.98 84
1 99.98 148
0 99.98 111
0 99.98 126
0 99.98 76
1 99.98 128
0 99.98 33
1 99.97 209
1 99.98 259
0 99.98 81
0 99.97 38
1 99.97 16
0 99.97 80
0 99.96 54
0 99.96 29
0 99.95 20
1 99.96 19
1 99.96 58
0 99.97 89
1 99.97 92
1 99.97 1351
1 99.97 113
1 99.97 166
1 99.96 55
0 99.97 14
1 99.97 36
1 99.96 327
0 99.97 24
0 99.97 59
1 99.97 57
0 99.97 256
0 99.97 94
0 99.97 101
0 99.97 47
0 99.97 6
0 99.97 37
1 99.97 53
0 99.97 65
0 99.97 28
0 99.97 13
0 99.97 118
1 99.97 40
1 99.96 54
1 99.96 10
0 99.96 43
0 99.95 112
1 99.96 75
1 99.95 36
0 99.96 32
0 99.96 45
0 99.96 78
0 99.96 78
1 99.96 95
1 99.96 124
1 99.96 61
1 99.96 307
1 99.97 106
1 99.96 26
1 99.96 76
0 99.97 93
0 99.96 117
0 99.95 36
0 99.95 8
0 99.95 233
0 99.95 49
1 99.95 7
1 99.96 41
0 99.95 115
1 99.95 19
0 99.95 18
0 99.94 43
1 99.95 61
0 99.94 31
0 99.94 38
1 99.95 123
1 99.95 55
1 99.95 12
1 99.96 179
0 99.97 45
0 99.96 22
1 99.95 45
0 99.95 15
1 99.95 55
0 99.95 94
0 99.95 31
0 99.95 40
1 99.94 30
1 99.94 113
1 99.93 43
0 99.93 30
1 99.92 63
0 99.92 41
0 99.92 47
0 99.92 24
0 99.93 102
1 99.93 36
1 99.93 41
1 99.93 66
0 99.93 388
0 99.93 126
0 99.93 28
1 99.94 16
0 99.94 75
0 99.95 30
1 99.95 43
0 99.94 45
1 99.95 49
0 99.95 44
0 99.96 34
1 99.96 6
1 99.96 66
0 99.96 101
0 99.97 21
1 99.97 112
0 99.96 74
0 99.96 62
1 99.96 66
1 99.96 114
0 99.96 94
1 99.96 11
0 99.96 199
0 99.96 95
1 99.96 20
0 99.96 9
0 99.97 16
1 99.97 190
0 99.98 49
1 99.98 120
0 99.97 415
0 99.97 17
0 99.97 17
0 99.97 54
1 99.96 74
0 99.96 118
1 99.96 22
0 99.96 28
0 99.97 217
0 99.97 82
1 99.97 75
1 99.97 35
0 99.97 204
0 99.97 158
1 99.97 53
1 99.97 10
0 99.96 140
1 99.97 93
0 99.96 60
0 99.97 176
1 99.97 86
1 99.96 41
1 99.96 149
0 99.97 68
0 99.97 137
1 99.98 63
0 99.97 96
1 99.97 239
0 99.97 221
0 99.97 32
0 99.98 138
1 99.98 30
0 99.98 121
0 100.00 48
0 99.99 12
1 99.99 73
1 100.00 156
0 100.01 100
0 100.00 23
0 100.00 71
0 100.00 48
1 99.99 123
0 99.99 154
1 99.98 15
0 99.98 60
1 99.98 22
0 99.98 67
1 99.99 14
1 99.98 51
0 99.99 72
1 99.99 6
0 99.99 42
0 99.99 12
0 99.99 125
0 99.99 8
0 99.99 38
1 99.99 203
1 99.99 19
0 100.00 26
0 100.00 51
0 100.00 58
1 100.00 5
1 99.99 42
0 99.99 109
0 100.00 469
0 100.00 25
0 100.00 41
1 100.00 82
1 100.00 24
0 100.00 240
0 100.00 53
1 100.00 68
0 99.99 93
0 100.00 10
1 100.01 72
0 100.01 29
1 100.00 23
1 100.01 86
1 100.01 169
0 100.01 55
0 100.02 254
0 100.02 43
1 100.02 10
1 100.01 17
0 100.00 251
0 100.00 324
1 100.01 78
0 100.01 29
1 100.01 40
1 100.01 52
1 100.02 55
1 100.03 95
1 100.03 77
0 100.03 17
0 100.03 18
0 100.03 94
1 100.04 37
1 100.05 50
1 100.04 56
0 100.05 32
0 100.05 62
1 100.06 109
1 100.06 48
0 100.06 215
1 100.07 261
1 100.08 23
1 100.08 82
1 100.08 43
0 100.08 25
0 100.09 53
0 100.08 6
1 100.08 119
0 100.08 130
0 100.08 69
1 100.09 144
0 100.09 27
0 100.09 3
0 100.08 34
1 100.09 16
0 100.09 55
1 100.10 230
0 100.10 73
1 100.10 42
0 100.10 166
0 100.11 297
1 100.11 85
0 100.11 29
0 100.11 62
0 100.11 64
0 100.11 45
0 100.11 198
0 100.12 127
0 100.11 17
0 100.11 15
0 100.11 32
1 100.12 20
1 100.11 34
0 100.11 55
0 100.11 46
1 100.12 65
1 100.12 39
0 100.11 14
1 100.12 21
1 100.12 19
0 100.10 25
0 100.11 82
0 100.10 37
0 100.10 22
0 100.10 50
1 100.10 73
0 100.10 71
1 100.09 606
0 100.10 30
0 100.10 79
1 100.10 159
1 100.11 261
0 100.11 42
1 100.10 9
0 100.09 40
0 100.09 78
0 100.10 768
0 100.09 14
0 100.10 52
0 100.09 28
1 100.10 136
0 100.10 29
1 100.10 12
0 100.10 7
1 100.11 71
0 100.11 59
0 100.11 92
0 100.11 62
0 100.12 74
0 100.12 87
1 100.13 24
1 100.13 55
1 100.13 91
0 100.13 21
0 100.14 9
0 100.14 77
1 100.13 45
1 100.13 208
0 100.13 105
0 100.13 40
1 100.13 14
1 100.13 210
1 100.12 119
0 100.11 198
1 100.10 143
1 100.09 16
1 100.10 87
0 100.10 142
1 100.10 61
1 100.10 40
0 100.10 34
0 100.10 25
0 100.09 49
1 100.10 16
0 100.11 9
1 100.10 31
1 100.10 30
1 100.11 512
1 100.10 214
1 100.09 45
0 100.09 53
1 100.09 156
1 100.08 54
1 100.09 45
0 100.10 42
0 100.09 47
1 100.10 18
0 100.10 172
1 100.11 42
0 100.11 192
1 100.11 161
1 100.11 87
1 100.11 187
1 100.12 44
0 100.12 31
1 100.12 29
0 100.12 59
0 100.13 110
1 100.13 80
1 100.14 371
0 100.14 91
1 100.14 31
1 100.15 64
1 100.14 134
1 100.14 34
0 100.14 29
1 100.14 172
1 100.14 119
0 100.14 57
1 100.14 33
1 100.15 41
0 100.16 73
1 100.16 114
0 100.16 154
1 100.16 65
1 100.17 16
1 100.16 232
1 100.16 178
0 100.15 145
1 100.15 214
1 100.16 124
0 100.15 61
1 100.16 18
1 100.15 25
1 100.15 37
1 100.15 119
0 100.15 267
1 100.16 218
0 100.16 35
1 100.17 48
0 100.17 14
1 100.16 289
1 100.17 13
1 100.17 46
0 100.16 218
1 100.17 81
0 100.18 96
0 100.18 70
1 100.18 10
1 100.18 85
0 100.18 101
1 100.18 31
1 100.17 115
1 100.17 34
0 100.18 216
1 100.18 52
0 100.18 96
1 100.19 73
1 100.17 113
0 100.18 61
1 100.17 112
1 100.17 111
0 100.16 16
1 100.15 105
1 100.16 35
0 100.16 47
1 100.16 43
1 100.16 36
0 100.16 220
1 100.16 14
0 100.16 4
0 100.16 31
0 100.16 45
0 100.15 24
0 100.15 21
1 100.16 109
1 100.16 61
1 100.16 682
1 100.16 25
1 100.15 80
1 100.17 95
1 100.17 41
1 100.17 19
0 100.17 50
1 100.18 95
1 100.17 28
0 100.17 43
1 100.17 48
0 100.17 25
1 100.18 199
1 100.18 64
0 100.18 45
0 100.18 123
1 100.18 64
1 100.17 182
1 100.18 23
1 100.18 100
1 100.18 53
1 100.17 209
0 100.18 143
0 100.18 73
0 100.18 74
0 100.18 50
0 100.18 170
0 100.18 32
1 100.17 51
1 100.18 103
1 100.18 26
0 100.18 20
1 100.19 135
1 100.19 13
0 100.19 138
1 100.19 39
0 100.20 16
1 100.20 214
0 100.20 9
0 100.21 167
0 100.21 980
0 100.22 300
0 100.22 40
0 100.22 254
1 100.23 170
0 100.22 24
0 100.22 21
1 100.22 70
1 100.22 94
0 100.22 155
1 100.22 148
1 100.22 68
1 100.23 33
0 100.23 136
1 100.23 169
1 100.24 63
1 100.24 45
0 100.24 34
1 100.24 12
0 100.24 26
1 100.24 232
1 100.25 57
1 100.25 30
1 100.25 53
0 100.25 38
0 100.25 85
1 100.24 38
1 100.24 52
1 100.24 7
1 100.24 20
0 100.23 74
0 100.22 47
1 100.22 98
0 100.21 70
1 100.22 222
1 100.23 3
1 100.22 51
0 100.23 104
1 100.24 59
1 100.24 42
1 100.23 35
0 100.24 29
1 100.23 35
0 100.22 22
1 100.23 42
1 100.24 24
1 100.25 164
1 100.25 23
1 100.25 263
1 100.26 142
1 100.26 177
1 100.26 53
1 100.26 18
1 100.26 10
0 100.26 126
1 100.26 50
1 100.25 35
0 100.25 105
1 100.24 761
0 100.24 57
0 100.24 165
1 100.24 47
0 100.25 143
1 100.24 60
1 100.24 135
0 100.24 102
0 100.24 29
1 100.24 14
1 100.24 6
0 100.23 83
1 100.23 211
1 100.23 98
1 100.22 217
1 100.23 290
0 100.22 91
0 100.22 6
0 100.22 17
0 100.22 28
1 100.22 14
0 100.23 10
1 100.23 53
1 100.23 17
1 100.23 25
1 100.23 72
1 100.23 23
1 100.23 58
1 100.23 41
1 100.23 160
1 100.22 29
1 100.23 14
1 100.22 40
0 100.22 469
1 100.21 254
0 100.22 283
0 100.22 83
0 100.22 66
1 100.22 20
1 100.22 86
1 100.22 14
0 100.23 45
0 100.22 82
0 100.22 30
1 100.23 84
0 100.23 32
1 100.23 4
0 100.23 118
0 100.23 103
1 100.23 30
0 100.23 50
1 100.24 658
0 100.24 111
0 100.23 29
0 100.23 78
0 100.25 98
1 100.24 40
1 100.25 46
1 100.26 10
1 100.26 47
1 100.26 15
1 100.27 17
1 100.26 35
1 100.26 87
1 100.26 8
1 100.26 39
0 100.25 13
1 100.25 458
0 100.25 13
0 100.24 50
0 100.24 16
0 100.24 79
1 100.24 6
1 100.24 225
0 100.23 626
0 100.23 171
1 100.24 62
0 100.23 37
0 100.24 20
1 100.24 15
1 100.24 29
1 100.24 94
1 100.24 32
1 100.24 45
0 100.25 71
1 100.24 143
0 100.24 356
0 100.24 11
1 100.23 392
1 100.23 215
0 100.23 119
0 100.23 39
0 100.24 35
1 100.24 157
1 100.24 38
1 100.23 8
0 100.24 47
1 100.24 30
1 100.25 158
0 100.25 14
0 100.26 629
1 100.25 51
1 100.25 10
0 100.25 57
1 100.26 84
0 100.26 190
0 100.26 58
0 100.25 64
0 100.24 59
1 100.24 16
1 100.24 56
1 100.23 53
1 100.23 27
0 100.24 8
0 100.24 37
1 100.25 100
1 100.25 238
0 100.25 44
1 100.25 47
1 100.25 41
0 100.25 74
0 100.25 34
0 100.25 96
0 100.25 5
0 100.25 95
0 100.25 35
1 100.25 48
0 100.25 11
1 100.25 53
1 100.25 92
1 100.25 169
1 100.26 55
1 100.26 75
0 100.26 101
1 100.27 26
1 100.27 198
1 100.27 14
1 100.26 123
0 100.26 18
1 100.26 14
0 100.25 24
0 100.25 99
0 100.25 19
1 100.26 129
1 100.26 56
0 100.26 17
1 100.26 42
1 100.25 119
1 100.24 199
0 100.24 114
0 100.24 142
0 100.24 55
1 100.25 36
1 100.25 44
1 100.25 227
0 100.26 23
1 100.26 58
1 100.26 81
1 100.26 43
0 100.25 204
0 100.25 79
0 100.25 67
1 100.25 67
0 100.25 171
0 100.26 37
0 100.26 28
1 100.27 87
0 100.26 100
0 100.25 95
1 100.25 5
1 100.24 54
1 100.24 58
1 100.24 110
0 100.23 18
0 100.23 101
0 100.24 29
1 100.23 51
1 100.22 220
0 100.22 67
0 100.22 67
0 100.21 97
1 100.21 111
0 100.21 4
0 100.21 130
1 100.22 193
0 100.21 62
1 100.22 9
0 100.22 27
1 100.22 17
0 100.21 58
0 100.21 63
1 100.20 170
0 100.20 222
1 100.21 692
1 100.21 27
1 100.20 55
0 100.20 54
1 100.20 28
0 100.20 72
1 100.21 115
1 100.20 549
0 100.21 103
0 100.21 19
0 100.21 14
0 100.22 24
1 100.22 107
1 100.22 59
0 100.23 15
0 100.23 23
1 100.24 161
0 100.24 198
1 100.24 6
1 100.24 72
1 100.23 129
1 100.24 39
0 100.25 154
0 100.24 322
0 100.24 153
0 100.24 84
1 100.23 23
1 100.24 306
1 100.24 21
1 100.23 95
0 100.23 29
0 100.24 20
0 100.24 208
1 100.25 221
0 100.24 19
0 100.24 89
1 100.24 47
0 100.24 17
1 100.24 23
1 100.25 37
0 100.25 70
0 100.25 411
1 100.26 153
0 100.26 71
0 100.27 49
1 100.27 11
0 100.27 29
1 100.27 171
1 100.28 141
1 100.28 15
0 100.29 41
1 100.28 14
1 100.28 110
1 100.27 82
0 100.26 13
0 100.27 100
1 100.27 131
1 100.27 117
0 100.27 43
1 100.27 99
0 100.27 143
0 100.28 6
0 100.27 103
0 100.27 8
1 100.27 33
1 100.27 43
1 100.28 97
0 100.28 50
1 100.29 110
0 100.29 33
1 100.30 107
0 100.30 89
0 100.29 69
0 100.29 39
1 100.29 44
0 100.29 52
1 100.29 26
1 100.30 51
1 100.30 73
1 100.30 57
1 100.31 19
0 100.31 42
1 100.32 58
0 100.32 35
1 100.31 67
1 100.32 33
0 100.32 65
1 100.33 107
1 100.33 38
0 100.33 79
0 100.32 180
1 100.32 46
1 100.32 103
1 100.31 31
0 100.32 70
0 100.33 39
0 100.33 8
1 100.32 236
0 100.32 38
1 100.33 88
1 100.33 43
0 100.33 19
1 100.33 192
0 100.32 106
0 100.33 23
1 100.33 125
0 100.33 274
0 100.32 73
1 100.32 142
1 100.32 210
1 100.32 25
0 100.33 99
1 100.33 14
0 100.33 50
1 100.34 33
0 100.33 35
1 100.32 24
1 100.31 23
0 100.32 18
1 100.32 10
0 100.33 37
1 100.33 13
0 100.33 26
0 100.33 21
1 100.34 13
0 100.35 74
1 100.36 59
0 100.37 70
0 100.37 57
0 100.37 102
1 100.37 43
0 100.37 264
0 100.37 14
1 100.36 12
1 100.36 7
0 100.37 8
1 100.37 34
1 100.37 42
0 100.38 142
0 100.37 41
0 100.37 254
0 100.37 70
1 100.36 92
0 100.36 132
0 100.36 37
0 100.37 292
1 100.37 81
0 100.36 289
1 100.37 153
1 100.38 96
0 100.38 38
1 100.38 50
1 100.38 77
0 100.37 17
1 100.38 6
1 100.39 37
1 100.40 39
0 100.39 92
1 100.39 210
0 100.39 54
1 100.38 17
1 100.38 55
0 100.38 64
1 100.38 44
0 100.37 22
1 100.37 395
1 100.37 120
0 100.36 102
0 100.35 9
1 100.35 16
1 100.36 12
1 100.37 41
0 100.37 177
0 100.36 45
0 100.36 39
0 100.36 10
0 100.36 74
0 100.36 33
0 100.37 164
0 100.37 25
1 100.37 45
1 100.37 30
1 100.36 38
0 100.36 110
1 100.36 17
0 100.37 45
1 100.36 52
0 100.37 101
0 100.37 37
0 100.37 155
1 100.36 7
1 100.35 87
0 100.36 53
0 100.36 144
0 100.36 19
0 100.36 296
0 100.36 214
1 100.35 34
0 100.35 84
0 100.36 18
1 100.35 101
0 100.35 24
1 100.34 74
0 100.35 20
0 100.35 177
0 100.34 97
1 100.34 398
0 100.34 65
1 100.34 12
0 100.34 72
1 100.34 697
1 100.34 43
1 100.34 90
1 100.34 103
1 100.34 15
0 100.34 71
1 100.34 111
0 100.34 113
0 100.34 37
0 100.33 22
1 100.32 26
0 100.32 43
0 100.33 61
1 100.31 14
1 100.31 156
0 100.31 131
0 100.32 663
1 100.32 74
0 100.32 46
1 100.32 12
0 100.32 12
0 100.32 19
0 100.32 15
0 100.31 34
0 100.31 26
0 100.31 165
1 100.32 93
1 100.32 104
0 100.32 11
0 100.32 57
0 100.31 11
0 100.31 99
1 100.31 26
0 100.31 14
1 100.33 35
0 100.33 29
1 100.33 114
0 100.32 32
1 100.33 56
0 100.33 22
0 100.32 32
1 100.33 20
1 100.33 38
1 100.33 92
1 100.34 76
1 100.34 204
1 100.34 14
0 100.34 48
1 100.35 31
0 100.35 60
0 100.35 61
0 100.34 22
0 100.35 73
1 100.35 47
1 100.35 210
0 100.34 13
1 100.34 30
1 100.35 201
1 100.35 67
1 100.35 22
1 100.35 51
1 100.35 8
1 100.36 102
0 100.35 23
1 100.35 57
0 100.35 64
1 100.36 41
1 100.36 4
0 100.38 40
1 100.38 4
0 100.38 261
1 100.38 40
0 100.38 22
1 100.38 7
1 100.38 98
1 100.38 83
0 100.39 45
0 100.38 51
0 100.39 24
1 100.39 25
1 100.39 184
1 100.38 37
1 100.38 77
0 100.39 37
0 100.39 45
1 100.38 444
0 100.38 212
0 100.38 110
1 100.39 50
0 100.39 121
0 100.38 9
0 100.38 51
1 100.38 26
1 100.38 109
0 100.38 122
1 100.39 173
0 100.40 51
1 100.40 50
0 100.40 100
0 100.40 195
1 100.40 13
0 100.40 46
0 100.40 6
1 100.39 145
0 100.40 27
1 100.40 83
0 100.40 14
1 100.40 50
0 100.40 32
0 100.40 25
1 100.40 143
0 100.40 22
0 100.40 180
1 100.40 262
1 100.41 32
1 100.40 297
1 100.40 136
1 100.40 527
0 100.40 331
0 100.40 66
1 100.41 158
0 100.41 43
1 100.41 210
0 100.42 17
0 100.42 35
1 100.42 27
1 100.43 38
0 100.43 39
0 100.42 55
0 100.43 105
1 100.43 62
0 100.42 86
1 100.42 20
0 100.42 29
0 100.42 35
0 100.42 49
0 100.42 189
0 100.42 59
0 100.42 26
1 100.42 101
1 100.42 59
0 100.43 43
0 100.43 216
0 100.43 120
0 100.43 52
0 100.43 48
0 100.43 40
1 100.43 14
0 100.44 41
0 100.44 55
0 100.44 15
1 100.44 18
0 100.44 559
1 100.44 277
0 100.43 26
1 100.43 26
1 100.42 94
1 100.43 36
1 100.44 60
